景点名字,经纬度,地址,已售票数
东西巷,"110.308024,25.28546",广西壮族自治区桂林市秀峰区西华里、正阳街东巷、江南巷、兰井巷等街道,56
逍遥楼遗址,"110.309568,25.289467",广西壮族自治区桂林市秀峰区滨江路北段,89
桂林花海,"110.333094,25.012331",广西省桂林市临桂区六塘镇诚桂村委马鞍山,40
平安寨梯田,"110.132055,25.761794",广西壮族自治区桂林市龙胜县和平乡平安村龙脊梯田平安壮族梯田观景区,53
金佛顶观景点,"110.162051,25.820656",广西龙胜各族自治县龙脊景区（金坑红瑶梯田观景区内）,87
平安寨,"110.117809,25.741668",广西壮族自治区桂林市龙胜县龙脊镇龙脊梯田景区平安村,39
桂林乐8小城,"110.185479,25.260062",广西省桂林市临桂区临桂镇西城大道东侧时代枫林美食街内（粤点私厨东100米）,4
大西江玫瑰岩旅游度假村,"111.002712,26.274699",广西省桂林市全州县大西江镇五星村委境内龟山岭旁,47
遇龙河漂流夏棠码头,"110.443122,24.779142",广西省桂林市阳朔县,35
资源丹霞游船,"110.655369,25.986945",广西省桂林市资源县中峰乡车田湾村,95
桂林度假村ClubMed,"110.341338,25.05019",广西省桂林市雁山区大埠乡愚自乐园,48
桂林洋国家热带农业公园,"110.501903,20.016834",海口市美兰区兴洋大道东50米海南省桂林洋国家热带农业公园,61
阳朔公园,"110.4973,24.781619",广西省桂林市阳朔县阳朔镇西部,0
桂林靖江王陵,"110.370757,25.297361",广西桂林尧山的西南麓,0
桂林会仙湿地,"110.316861,25.283377",广西省桂林市临桂县会仙镇睦洞七星村82-1号,0
桂林北高铁站-阳朔直通车,"110.309197,25.335558",广西桂林市叠彩区北辰路49号桂林北站,0
五排河漂流,"110.460117,26.005",广西壮族自治区桂林市资源县,0
怪楼视觉艺术馆,"110.501342,24.782217",广西省桂林市阳朔县西街桂花路4号,0
桂林机场接送机阳朔线,"110.059909,25.221604",广西省桂林市临桂县桂林两江国际机场,0
阳朔鉴山寺,"110.49406011649,24.736577827303",广西壮族自治区桂林阳朔县鉴山寺,0
水口小桂林,"112.725084,24.407148",广东省清远市阳山县杜步镇杜步村东北方向约2.55公里,0
草坪乡,"110.456787,25.062977",广西省桂林市雁山区临桂县，漓江东岸,0
