景点名字,经纬度,地址,已售票数
宋城千古情,"120.103968,30.176543",浙江省杭州市西湖区之江路148号,750
金湖杨国家森林公园,"76.987805,38.03585",新疆喀什地区泽普县奎依巴格乡亚斯墩林场(泽普县西南40公里处),42
重庆长江索道,"106.589285,29.563863",重庆市渝中区新华路151号,452
东江湖,"113.272037,25.939429",湖南省郴州资兴市x203,352
明月山,"114.26879,27.608185",江西省宜春市袁州区环城南路,646
沈阳森林动物园,"123.689555,41.939773",辽宁省沈阳市棋盘山国际风景旅游开发区内,364
大香林,"120.423466,30.026107",浙江省绍兴市柯桥区湖塘街道大香林风景区,38
红叶谷生态文化旅游区,"117.174923,36.492559",山东省济南市历城区锦绣川乡锦绣川水库南3公里,54
象鼻山,"110.302339,25.274549",广西壮族自治区桂林市民主路52号,546
大小七孔景区,"107.723691,25.262515",贵州省黔南州荔波县,672
壶口瀑布（山西）,"110.458711,36.136265",山西省临汾市吉县壶口镇黄河壶口瀑布国家地质公园内,550
清明上河园,"114.346802,34.814867",河南省开封市龙亭区龙亭西路5号,178
香山公园,"116.203098,39.996942",北京市海淀区买卖街40号,32
横店明清宫苑,"120.309737,29.176594",浙江省金华市东阳市万盛街42号横店影视城,896
天津方特欢乐世界,"117.743299,39.159433",天津市滨海新区中新生态城中生大道北首生态岛内,554
中粮智慧农场,"116.076873,39.597674",北京市房山区琉璃河镇兴礼村琉璃河路,82
崇圣寺三塔,"100.149535,25.710163",云南省大理市大理古城西北两公里的苍山应乐峰下,598
金顶,"103.34597,29.526387",四川省乐山市峨眉山市峨眉山景区内,896
七里海,"117.522573,39.286595",天津市宁河县七里海,24
剑门关,"105.573795,32.211505",四川省广元市剑阁县河东街64号,404
上海自然博物馆,"121.469083,31.241294",上海市静安区石门二路128号静安雕塑公园内,872
天津泰达航母主题公园,"117.815028,39.162205",天津市滨海新区汉沽汉北路269号,120
豫园,"121.498981,31.232772",上海豫园旅游商业区内（湖心亭九曲桥北侧，豫园正门入园）,316
沣东农博园,"108.757528,34.202639",陕西省西安西咸新区沣东新城斗门街道（鱼斗路与韦斗路十字向西500米）,110
华侨城,"113.990656,22.540551",广东省深圳市南山区深南大道9012,146
明孝陵,"118.84258,32.056109",江苏省南京市玄武区紫金山南麓独龙阜玩珠峰下,248
巫山小三峡,"109.902086,31.152742",重庆市巫山县广东中路170号,30
云冈石窟,"113.139454,40.117323",山西省大同市城西约16公里的武州山南麓,460
景洪曼听公园,"100.814267,21.998503",云南省西双版纳傣族自治州景洪市曼听路35号,576
又见平遥,"112.178892,37.20487",山西省晋中市平遥县顺城路154号又见平遥剧场,704
酉阳桃花源,"108.770241,28.859621",重庆市酉阳县土家族苗族自治县桃花源路232号,40
中科院西双版纳热带植物园,"101.260734,21.933968",云南省西双版纳州勐腊县勐仑镇(近野象谷),422
阳朔十里画廊,"110.476723,24.725351",广西省桂林市阳朔县月亮山,854
沙湖旅游区,"106.389074,38.820453",宁夏省石嘴山市平罗县境内西大滩（沙湖生态旅游区）,162
灵山小镇拈花湾,"120.079209,31.419262",江苏省无锡市滨湖区马山环山西路,678
千佛山,"117.041792,36.644733",山东省济南市历下区经十一路18号,706
长白山,"128.079743,42.025855",吉林省延边市安图县二道白河镇池北区,264
上海长风海洋世界,"121.403563,31.230472",上海市普陀区大渡河路451号（长风公园4号门）,1694
火山口公园,"110.225955,19.931249",海南省海口市秀英区石山镇,518
留园,"120.598937,31.321719",江苏省苏州金阊区阊门外留园路338号,216
金茂大厦88层观光厅,"121.512094,31.240746",上海市浦东新区浦东世纪大道88号观光厅,330
南靖土楼群,"117.293053,24.668803",福建省漳州市南靖县书洋镇(旧圩)田螺坑,1124
山西王家大院,"111.881551,36.902417",山西省晋中市灵石县静升镇静升村,796
鸟巢,"116.404487,40.000484",北京市朝阳区国家体育场南路1号奥林匹克公园内,282
沈阳方特欢乐世界,"123.425169,41.971468",辽宁省沈阳市市沈北新区道义开发区盛京大街55号,414
乐山夜游三江,"103.779453,29.559376",四川省乐山市市中区篦子街乐山大佛景区八仙洞码头,90
西安城墙,"108.953364,34.256023",陕西省西安市碑林区永宁门,118
长影世纪城,"125.453307,43.779397",吉林省长春市净月开发区长双公路,324
天目湖南山竹海景区,"119.539659,31.181493",江苏省常州溧阳市横涧镇李家园下场园10号,304
青岛方特梦幻王国,"120.290165,36.215056",山东省青岛市城阳区红岛街道岙东南路华南文化产业基地内,428
三峡人家,"111.170932,30.805222",湖北省宜昌市夷陵区西陵峡内,428
天津盘山风景名胜区,"117.286958,40.100119",天津市蓟县官庄镇北15公里处,250
杭州Hello Kitty乐园,"119.744673,30.627035",浙江省湖州市安吉县天使大道1号,346
环球金融中心观光厅,"121.513463,31.23965",上海市浦东新区世纪大道100号,456
避暑山庄,"117.940068,41.002781",河北省承德市双桥区丽正门大街20号,418
黄河口生态旅游区,"118.998823,37.766577",山东省东营市垦利县黄河口镇东北,62
婺源风景区,"117.861924,29.247904",江西省上饶市婺源县文公北路,158
金石滩旅游度假区,"122.012502,39.091863",辽宁省大连市金州区丹枫路金石滩国家旅游度假区,218
瑞金九丰极地海洋世界,"116.058404,25.918349",江西省瑞金市叶坪乡田坞村,880
杭州动物园,"120.139701,30.218842",浙江省杭州市西湖区虎跑路40号,358
黄姚古镇,"111.209664,24.254288",广西壮族自治区贺州市昭平县,640
滕王阁,"115.888564,28.686101",江西省南昌市东湖区仿古街58号,452
莫干山,"119.875123,30.61246",浙江省湖州市德清县莫干山风景名胜区,488
阆中古城,"105.977638,31.580898",四川省阆中市阆水中路33号,278
武隆仙女山国家森林公园,"107.755105,29.500941",重庆市武隆县境乌江北岸双河乡,160
黄花溪,"118.262973,36.527383",山东省青州市,128
北京中华民族园,"116.398488,39.989306",北京市朝阳区民族园路1号(健翔桥东路口),578
木府,"100.241109,26.875004",云南省丽江市古城区大研镇光义街49号,1110
古龙峡漂流,"112.967888,23.781724",广东省清远市清新县三坑滩,662
野象谷,"100.865759,22.175621",云南省西双版纳傣族自治州景洪市勐养镇三岔河,622
开封府,"114.353429,34.796032",河南省开封市包公东湖北岸,400
青岩古镇,"106.695326,26.339051",贵阳市花溪区交通路240号,328
夜游三亚湾,"109.443598,18.293513",海南省三亚市三亚湾,740
杭州宋城景区,"120.105205,30.175961",浙江省杭州市西湖区之江路148号,1106
